#date,category,value
05/03/2020,Food & Drinks,-17.5
04/03/2020,Entertainment,-6.7
03/03/2020,Food & Drinks,-22.5
02/03/2020,Food & Drinks,-9.8
02/03/2020,Friends & Family,24.78
02/03/2020,Appartment,-40
02/03/2020,Entertainment,-16
02/03/2020,Toys & Electronics,-4
02/03/2020,Food & Drinks,-6.35
01/03/2020,Friends & Family,350
29/02/2020,Food & Drinks,-12.65
28/02/2020,Appartment,-272.29
28/02/2020,Food & Drinks,-11.75
27/02/2020,Food & Drinks,-11.60
27/02/2020,Work,3431.02
26/02/2020,Food & Drinks,-16.45
25/02/2020,Food & Drinks,-2.6
24/02/2020,Medical & Insurances,20.78
24/02/2020,Entertainment,-34.99
23/02/2020,Friends & Family,29
23/02/2020,Food & Drinks,-1
22/02/2020,Food & Drinks,-8.9
22/02/2020,Entertainment,-12
21/02/2020,Food & Drinks,-45.35
21/02/2020,Entertainment,-5
21/02/2020,Food & Drinks,-15.5
20/02/2020,Food & Drinks,-12
20/02/2020,Food & Drinks,-3
19/02/2020,Food & Drinks,-8.5
18/02/2020,Food & Drinks,-11.5
17/02/2020,Entertainment,-15
17/02/2020,Food & Drinks,-3.8
16/02/2020,Food & Drinks,-3.4
15/02/2020,Food & Drinks,-12
14/02/2020,Medical & Insurances,-26.30
13/02/2020,Food & Drinks,-8.8
13/02/2020,Internet,-24.95
11/02/2020,Food & Drinks,-0.95
11/02/2020,Taxes,-62.5
10/02/2020,Entertainment,-15
10/02/2020,Food & Drinks,-9.30
10/02/2020,Electricity,-96
08/02/2020,Friends & Family,40
06/02/2020,Work,155
06/02/2020,Food & Drinks,-16.85
05/02/2020,Food & Drinks,-9.75
04/02/2020,Entertainment,-0.8
04/02/2020,Food & Drinks,-1.9
03/02/2020,Friends & Family,24.78
03/02/2020,Appartment,-40
03/02/2020,Food & Drinks,-3.75
02/02/2020,Food & Drinks,-1
01/02/2020,Food & Drinks,-13.25
01/02/2020,Friends & Family,350
31/01/2020,Appartment,-273.83
31/01/2020,Food & Drinks,-8.9
31/01/2020,Food & Drinks,-4
30/01/2020,Work,40
30/01/2020,Entertainment,-16
30/01/2020,Entertainment,-5
30/01/2020,Food & Drinks,-21.4
29/01/2020,Work,2932.91
28/01/2020,Food & Drinks,-4.74
27/01/2020,Food & Drinks,-3.2
26/01/2020,Food & Drinks,-4
25/01/2020,Food & Drinks,-8.54
25/01/2020,Food & Drinks,-15.5
24/01/2020,Entertainment,-6.7
24/01/2020,Food & Drinks,-8.2
